goals,venue,elevation,location,startTime
1,Stade du Ray,62.18929672241211,"{""lat"":43.723349,""lng"":7.258768399999999}",2012-08-11T20:00:00.000Z
5,Stade Bonal,316.7019653320312,"{""lat"":47.5124167,""lng"":6.811199999999999}",2012-08-11T20:00:00.000Z
1,Celtic Park,20.5514087677002,"{""lat"":55.84969599999999,""lng"":-4.2055427}",2016-11-23T19:45:00.000Z
1,Etihad Stadium,59.93937301635742,"{""lat"":53.48313810000001,""lng"":-2.2003953}",2017-03-19T16:30:00.000Z
2,Estádio do Dragão,101,"{""lat"":41.16177,""lng"":-8.583591}",2018-03-17T20:30:00.000Z
1,Estádio Vila Belmiro (Urbano Caldeira),9.93298625946045,"{""lat"":-23.9510794,""lng"":-46.3388549}",2014-07-26T22:30:00.000Z
1,Development Area Stadium,203.9721984863281,"{""lat"":43.839549,""lng"":125.396007}",2016-10-30T11:35:00.000Z
4,Constant Vanden Stockstadion,42.44330215454102,"{""lat"":50.8341614,""lng"":4.2983394}",2012-11-21T19:45:00.000Z
2,Olympiastadion,54.11465072631836,"{""lat"":52.5146971,""lng"":13.2394987}",2017-04-09T14:30:00.000Z
3,An der Alten Försterei,37.72083282470703,"{""lat"":52.4578269,""lng"":13.5681581}",2018-02-24T12:00:00.000Z
3,Ipurúa,162.6201782226562,"{""lat"":43.18177559999999,""lng"":-2.4759683}",2016-03-06T15:00:00.000Z
3,Griffin Park,110.7754287719727,"{""lat"":36.310773,""lng"":-91.508366}",2016-12-10T15:00:00.000Z
5,London Stadium,7.455661773681641,"{""lat"":51.5387095,""lng"":-0.0166037}",2017-11-04T17:30:00.000Z
0,bet365 Stadium,128.3768615722656,"{""lat"":52.9881046,""lng"":-2.1764298}",2018-01-31T20:00:00.000Z
5,Brigadier Gral. Estanislao López,16.9972095489502,"{""lat"":-31.6625953,""lng"":-60.7254305}",2016-03-13T23:00:00.000Z
3,VELTINS-Arena,56.35608673095703,"{""lat"":51.5546309,""lng"":7.0675262}",2017-12-13T19:30:00.000Z
0,Stadium of Light,29.93993377685547,"{""lat"":54.914561,""lng"":-1.388371}",2010-02-01T20:00:00.000Z
3,Municipal de Riazor,8.40119743347168,"{""lat"":43.3687184,""lng"":-8.4174835}",2014-08-31T20:00:00.000Z
0,La Rosaleda,19.71603393554688,"{""lat"":36.7335796,""lng"":-4.4266511}",2014-09-24T21:00:00.000Z
4,BORUSSIA-PARK,79.86819458007812,"{""lat"":51.1745698,""lng"":6.3855055}",2016-09-17T17:30:00.000Z
6,St. Mary's Stadium,226.4489898681641,"{""lat"":29.4547308,""lng"":-98.5670913}",2016-05-01T16:30:00.000Z
4,Balaídos,8.251565933227539,"{""lat"":42.212398,""lng"":-8.740087299999999}",2014-10-05T16:00:00.000Z
4,iPro Stadium,46.05399703979492,"{""lat"":52.9148156,""lng"":-1.4472771}",2014-12-16T19:45:00.000Z
2,Benito Villamarín,6.002285957336426,"{""lat"":37.3565037,""lng"":-5.9817521}",2016-04-30T19:30:00.000Z
5,Allianz Arena,492.504638671875,"{""lat"":48.2187997,""lng"":11.6247072}",2018-05-12T14:30:00.000Z
1,Carrow Road,2.339556932449341,"{""lat"":52.6221139,""lng"":1.3091533}",2016-01-02T15:00:00.000Z
6,Old Trafford,43.2116813659668,"{""lat"":53.4630589,""lng"":-2.2913401}",2015-04-12T16:00:00.000Z
3,Neftyanik Stadium,143.4492797851562,"{""lat"":54.8260078,""lng"":56.06148779999999}",2017-10-30T14:00:00.000Z
1,White Hart Lane,11.80968856811523,"{""lat"":51.6032123,""lng"":-0.0657389}",2014-10-05T14:05:00.000Z
3,Ewood Park,103.0917129516602,"{""lat"":53.7285943,""lng"":-2.4891959}",2010-05-03T17:00:00.000Z
2,Power8 Stadium,7,"{""lat"":41.34797349999999,""lng"":2.0747653}",2015-04-25T15:00:00.000Z
1,Mercedes-Benz Arena,37,"{""lat"":52.5063143,""lng"":13.4436316}",2015-02-07T14:30:00.000Z
2,Ashton Gate,7.224762916564941,"{""lat"":51.44011740000001,""lng"":-2.620302}",2015-12-26T15:00:00.000Z
1,La Beaujoire-Louis-Fonteneau,29.09452247619629,"{""lat"":47.2560232,""lng"":-1.5246749}",2017-08-12T16:00:00.000Z
2,Oakwell,214.1897735595703,"{""lat"":29.50770809999999,""lng"":-98.4312009}",2017-02-25T15:00:00.000Z
2,Pride Park Stadium,46.05399703979492,"{""lat"":52.9148156,""lng"":-1.4472771}",2017-04-17T17:00:00.000Z
2,Monumental de Victoria (José Dellagiovanna),16.98937606811523,"{""lat"":-34.4497668,""lng"":-58.5420312}",2016-10-23T20:00:00.000Z
1,Stade Saputo,36.97324371337891,"{""lat"":45.5622947,""lng"":-73.55303239999999}",2015-07-26T01:00:00.000Z
1,Ciutat de Valencia,11.48455905914307,"{""lat"":39.4948455,""lng"":-0.3643771000000001}",2016-03-13T11:00:00.000Z
5,Ewood Park,103.0917129516602,"{""lat"":53.7285943,""lng"":-2.4891959}",2016-08-06T15:00:00.000Z
2,Anfield,56.58598327636719,"{""lat"":53.4308294,""lng"":-2.96083}",2018-03-03T17:30:00.000Z
4,Selhurst Park,53.31737899780273,"{""lat"":51.3953384,""lng"":-0.0780389}",2017-04-15T15:00:00.000Z
1,Audi Sportpark,363.4431457519531,"{""lat"":48.745548,""lng"":11.4857571}",2017-05-20T14:30:00.000Z
3,Old Trafford,43.2116813659668,"{""lat"":53.4630589,""lng"":-2.2913401}",2015-12-19T15:00:00.000Z
4,Amex Stadium,22.48694229125977,"{""lat"":33.8634913,""lng"":-118.2611468}",2018-01-20T12:30:00.000Z
5,San Mamés,24.88425254821777,"{""lat"":43.26413549999999,""lng"":-2.9493652}",2016-10-16T15:15:00.000Z
4,Sivas 4 Eylül Stadium,1259.010986328125,"{""lat"":39.72862980000001,""lng"":36.9840482}",2018-02-17T13:00:00.000Z
1,Matmut Atlantique,2.503161191940308,"{""lat"":44.897381,""lng"":-0.561553}",2016-09-17T19:00:00.000Z
0,Vitality Stadium,32.79719924926758,"{""lat"":50.73523059999999,""lng"":-1.8382791}",2015-12-26T15:00:00.000Z
0,MAPFRE Stadium,257.4828186035156,"{""lat"":40.0095288,""lng"":-82.99116219999999}",2016-04-24T00:30:00.000Z
0,El Madrigal,46.77220916748047,"{""lat"":39.9433869,""lng"":-0.1039388}",2016-04-24T19:30:00.000Z
3,CenturyLink Field,5.181663036346436,"{""lat"":47.5951518,""lng"":-122.3316394}",2014-05-31T21:00:00.000Z
5,La Beaujoire-Louis-Fonteneau,29.09452247619629,"{""lat"":47.2560232,""lng"":-1.5246749}",2015-09-26T16:30:00.000Z
1,Ramón-Sánchez Pizjuán,9.037043571472168,"{""lat"":37.3840655,""lng"":-5.9706902}",2016-01-09T17:15:00.000Z
1,RFK Stadium,3.019999980926514,"{""lat"":38.8898532,""lng"":-76.97186669999999}",2015-03-28T23:00:00.000Z
3,Chongqing Olympic Sports Center,296.8074035644531,"{""lat"":29.527919,""lng"":106.504191}",2016-10-16T12:35:00.000Z
3,Old Trafford,43.2116813659668,"{""lat"":53.4630589,""lng"":-2.2913401}",2016-01-02T15:00:00.000Z
1,Stadion am Bruchweg,119.7165832519531,"{""lat"":50.0009593,""lng"":8.2456943}",2009-12-13T14:30:00.000Z
3,Villa Park,213.1084899902344,"{""lat"":41.8897519,""lng"":-87.98895429999999}",2016-12-26T15:00:00.000Z
4,Olimpico,72.84867095947266,"{""lat"":45.5241048,""lng"":-73.6002501}",2012-02-05T14:00:00.000Z
1,Arena Corinthians,782.5233154296875,"{""lat"":-23.5453221,""lng"":-46.4742676}",2017-08-19T20:00:00.000Z
7,Abe Lenstra Stadion,1.200334906578064,"{""lat"":52.9587432,""lng"":5.936013}",2015-10-18T13:30:00.000Z
2,Noordlease Stadion,-1.00184166431427,"{""lat"":53.2067858,""lng"":6.591991699999999}",2017-05-07T13:30:00.000Z
4,Olimpico Grande Torino,246.0648040771484,"{""lat"":45.0418233,""lng"":7.650052199999999}",2017-12-16T17:00:00.000Z
2,Stamford Bridge,4.359621524810791,"{""lat"":51.481663,""lng"":-0.1909565}",2015-01-31T17:30:00.000Z
1,AESSEAL New York Stadium,28.31624603271484,"{""lat"":53.4270638,""lng"":-1.3629998}",2017-04-01T15:00:00.000Z
5,Old Trafford,43.2116813659668,"{""lat"":53.4630589,""lng"":-2.2913401}",2016-11-30T20:00:00.000Z
4,St. James' Park,361.9280700683594,"{""lat"":35.2470491,""lng"":-97.45332619999999}",2017-04-24T19:45:00.000Z
3,Goodison Park,40.08917236328125,"{""lat"":53.438787,""lng"":-2.9663193}",2017-04-30T14:05:00.000Z
2,Old Trafford,43.2116813659668,"{""lat"":53.4630589,""lng"":-2.2913401}",2018-03-31T15:00:00.000Z
5,Ashton Gate,7.224762916564941,"{""lat"":51.44011740000001,""lng"":-2.620302}",2016-04-19T19:45:00.000Z
2,King Power Stadium,57.76963424682617,"{""lat"":52.6203662,""lng"":-1.1421895}",2016-11-26T15:00:00.000Z
0,Villa Park,213.1084899902344,"{""lat"":41.8897519,""lng"":-87.98895429999999}",2016-10-15T17:30:00.000Z
2,RCDE Stadium,7,"{""lat"":41.34797349999999,""lng"":2.0747653}",2016-04-19T19:00:00.000Z
3,Old Trafford,43.2116813659668,"{""lat"":53.4630589,""lng"":-2.2913401}",2014-09-27T15:00:00.000Z
4,Couto Pereira,924.0042724609375,"{""lat"":-25.421124,""lng"":-49.259533}",2014-09-18T02:00:00.000Z
3,Estádio José Alvalade,89.82318115234375,"{""lat"":38.7612299,""lng"":-9.1617956}",2016-10-18T19:45:00.000Z
4,Giuseppe Meazza,125.9809951782227,"{""lat"":45.4781236,""lng"":9.123961999999999}",2015-01-11T11:30:00.000Z
1,GSP Stadium,186.0131378173828,"{""lat"":35.1144171,""lng"":33.3628402}",2016-11-03T18:00:00.000Z
5,Loftus Road Stadium,6.772386074066162,"{""lat"":51.5092767,""lng"":-0.2321123}",2017-03-18T15:00:00.000Z
3,Stade Bonal,316.7019653320312,"{""lat"":47.5124167,""lng"":6.811199999999999}",2012-09-01T19:00:00.000Z
2,Gillette Stadium,77.99928283691406,"{""lat"":42.0909458,""lng"":-71.2643465}",2015-05-24T00:30:00.000Z
1,Coliseum Alfonso Pérez,619.33056640625,"{""lat"":40.3257267,""lng"":-3.7149399}",2015-04-12T11:00:00.000Z
2,La Rosaleda,19.71603393554688,"{""lat"":36.7335796,""lng"":-4.4266511}",2016-02-21T15:00:00.000Z
3,Volkswagen Arena,57.65189743041992,"{""lat"":52.4324905,""lng"":10.803933}",2017-01-28T14:30:00.000Z
2,SIGNAL IDUNA PARK,100.8142471313477,"{""lat"":51.4925888,""lng"":7.451857400000001}",2016-12-20T19:00:00.000Z
1,Olympiastadion,54.11465072631836,"{""lat"":52.5146971,""lng"":13.2394987}",2014-11-29T14:30:00.000Z
2,iPro Stadium,46.05399703979492,"{""lat"":52.9148156,""lng"":-1.4472771}",2015-08-18T19:45:00.000Z
0,Estádio João Cardoso,308.74755859375,"{""lat"":40.5119637,""lng"":-8.083004299999999}",2018-05-05T18:15:00.000Z
1,Turf Moor,128.6286315917969,"{""lat"":53.7890244,""lng"":-2.2301736}",2015-04-25T15:00:00.000Z
2,Olimpico,72.84867095947266,"{""lat"":45.5241048,""lng"":-73.6002501}",2016-09-25T14:00:00.000Z
1,Stamford Bridge,4.359621524810791,"{""lat"":51.481663,""lng"":-0.1909565}",2016-12-11T12:00:00.000Z
0,Senol Güne&#351; Spor Kompleksi,0,"{""lat"":40.9971182,""lng"":39.6560603}",2017-05-21T17:00:00.000Z
3,Development Area Stadium,203.9721984863281,"{""lat"":43.839549,""lng"":125.396007}",2016-08-14T12:35:00.000Z
3,Olimpico di Torino,246.0648040771484,"{""lat"":45.0418233,""lng"":7.650052199999999}",2014-12-21T14:00:00.000Z
2,MAPEI Stadium - Città del Tricolore,40.40363311767578,"{""lat"":44.7145409,""lng"":10.6497216}",2017-01-29T14:00:00.000Z
2,OPEL ARENA,130.1668548583984,"{""lat"":49.9839442,""lng"":8.2243816}",2016-12-08T18:00:00.000Z
2,Municipal de Riazor,8.40119743347168,"{""lat"":43.3687184,""lng"":-8.4174835}",2015-05-02T21:00:00.000Z
2,Atatürk Olympic Stadium,85.17713928222656,"{""lat"":41.0744707,""lng"":28.7656842}",2014-11-02T17:00:00.000Z
4,iPro Stadium,46.05399703979492,"{""lat"":52.9148156,""lng"":-1.4472771}",2015-12-15T19:45:00.000Z
5,BayArena,46.41300582885742,"{""lat"":51.0382091,""lng"":7.0022566}",2017-04-28T19:30:00.000Z
0,The KC Stadium,2.635913610458374,"{""lat"":53.74609340000001,""lng"":-0.3682974}",2014-12-06T15:00:00.000Z
2,Vonovia Ruhrstadion,121.7894668579102,"{""lat"":51.489917,""lng"":7.236513}",2017-10-14T12:00:00.000Z
1,La Beaujoire-Louis-Fonteneau,29.09452247619629,"{""lat"":47.2560232,""lng"":-1.5246749}",2014-04-13T13:00:00.000Z
2,Olympiastadion,54.11465072631836,"{""lat"":52.5146971,""lng"":13.2394987}",2016-12-21T19:00:00.000Z
0,Emirates Stadium,32.0947151184082,"{""lat"":51.5548885,""lng"":-0.108438}",2012-12-08T15:00:00.000Z
1,Estádio Raulino de Oliveira,376.9699401855469,"{""lat"":-22.5083419,""lng"":-44.0968421}",2016-05-14T20:00:00.000Z
6,Guiyang Olympic Sports Center,1321.41845703125,"{""lat"":26.619913,""lng"":106.607619}",2017-07-22T12:35:00.000Z
4,Workers Stadium,46.47019958496094,"{""lat"":39.9308565,""lng"":116.447228}",2017-05-19T11:00:00.000Z
6,Santiago Bernabéu,688.4168090820312,"{""lat"":40.4530541,""lng"":-3.6883445}",2011-01-09T18:00:00.000Z
1,Stade de la Route-de-Lorient,24.52671241760254,"{""lat"":48.1074784,""lng"":-1.7128683}",2015-05-09T19:00:00.000Z
2,Atleti Azzurri d'Italia,266.3253479003906,"{""lat"":45.7092003,""lng"":9.680845399999999}",2017-02-05T14:00:00.000Z
4,Madejski Stadium,45.28445053100586,"{""lat"":51.42239319999999,""lng"":-0.9826326000000001}",2013-01-12T15:00:00.000Z
3,Estádio José Alvalade,89.82318115234375,"{""lat"":38.7612299,""lng"":-9.1617956}",2016-11-06T20:15:00.000Z
1,St. Mary's Stadium,226.4489898681641,"{""lat"":29.4547308,""lng"":-98.5670913}",2016-08-27T15:00:00.000Z
8,Santiago Bernabéu,688.4168090820312,"{""lat"":40.4530541,""lng"":-3.6883445}",2018-01-21T15:15:00.000Z
2,Estadio Libertadores de América,9.907870292663574,"{""lat"":-34.6693641,""lng"":-58.37099409999999}",2017-05-14T23:00:00.000Z
1,Stade Municipal de Roudourou,76.02000427246094,"{""lat"":48.56608629999999,""lng"":-3.1643843}",2015-01-10T19:00:00.000Z
1,Emirates Stadium,32.0947151184082,"{""lat"":51.5548885,""lng"":-0.108438}",2010-02-10T19:45:00.000Z
2,John Smith's Stadium,58.53171539306641,"{""lat"":53.6542822,""lng"":-1.7682517}",2018-01-30T20:00:00.000Z
1,Toyota Stadium,181.3510437011719,"{""lat"":33.1543339,""lng"":-96.83517189999999}",2016-05-15T02:00:00.000Z
2,Wembley,42.28739547729492,"{""lat"":51.550501,""lng"":-0.3048409}",2016-10-08T17:00:00.000Z
0,Olimpico,72.84867095947266,"{""lat"":45.5241048,""lng"":-73.6002501}",2011-12-21T19:45:00.000Z
2,Allianz Arena,492.504638671875,"{""lat"":48.2187997,""lng"":11.6247072}",2014-12-10T19:45:00.000Z
